cultivo,año,toneladas
Agave,2003,
Agave,2004,0
Agave,2005,0
Agave,2006,0
Agave,2007,0
Agave,2008,0
Agave,2009,0
Agave,2010,0
Agave,2011,16510
Agave,2012,12355.47
Agave,2013,9777.5
Agave,2014,12560.4
Agave,2015,9082
Agave,2016,18240
Agave,2017,0
Agave,2018,6436.88
Agave,2019,4048.83
Agave,2020,22638.24
Aguacate,2003,
Aguacate,2004,
Aguacate,2005,
Aguacate,2006,
Aguacate,2007,
Aguacate,2008,
Aguacate,2009,
Aguacate,2010,
Aguacate,2011,
Aguacate,2012,
Aguacate,2013,
Aguacate,2014,
Aguacate,2015,
Aguacate,2016,18352.15
Aguacate,2017,49600
Aguacate,2018,62334.98
Aguacate,2019,62509.46
Aguacate,2020,70105.92
Avena forrajera en verde,2003,
Avena forrajera en verde,2004,
Avena forrajera en verde,2005,1440
Avena forrajera en verde,2006,1032.5
Avena forrajera en verde,2007,2124
Avena forrajera en verde,2008,3581.5
Avena forrajera en verde,2009,3958.5
Avena forrajera en verde,2010,3570.4
Avena forrajera en verde,2011,2625.5
Avena forrajera en verde,2012,3564
Avena forrajera en verde,2013,2498.88
Avena forrajera en verde,2014,2746.8
Avena forrajera en verde,2015,3120
Avena forrajera en verde,2016,3927
Avena forrajera en verde,2017,2323.2
Avena forrajera en verde,2018,2702.7
Avena forrajera en verde,2019,
Avena forrajera en verde,2020,
Avena forrajera seca,2003,10076.6
Avena forrajera seca,2004,2350
Avena forrajera seca,2005,
Avena forrajera seca,2006,
Avena forrajera seca,2007,
Avena forrajera seca,2008,
Avena forrajera seca,2009,
Avena forrajera seca,2010,
Avena forrajera seca,2011,
Avena forrajera seca,2012,
Avena forrajera seca,2013,
Avena forrajera seca,2014,
Avena forrajera seca,2015,
Avena forrajera seca,2016,
Avena forrajera seca,2017,
Avena forrajera seca,2018,
Avena forrajera seca,2019,
Avena forrajera seca,2020,
Ebo (janamargo o veza),2003,353.8
Ebo (janamargo o veza),2004,350
Ebo (janamargo o veza),2005,432
Ebo (janamargo o veza),2006,1050
Ebo (janamargo o veza),2007,950
Ebo (janamargo o veza),2008,918.75
Ebo (janamargo o veza),2009,875
Ebo (janamargo o veza),2010,781.63
Ebo (janamargo o veza),2011,483.36
Ebo (janamargo o veza),2012,954.47
Ebo (janamargo o veza),2013,545.66
Ebo (janamargo o veza),2014,787.55
Ebo (janamargo o veza),2015,662.4
Ebo (janamargo o veza),2016,427.5
Ebo (janamargo o veza),2017,764
Ebo (janamargo o veza),2018,672.6
Ebo (janamargo o veza),2019,
Ebo (janamargo o veza),2020,
Frijol,2003,1483.84
Frijol,2004,472.78
Frijol,2005,360
Frijol,2006,390
Frijol,2007,
Frijol,2008,
Frijol,2009,
Frijol,2010,
Frijol,2011,
Frijol,2012,156.24
Frijol,2013,
Frijol,2014,
Frijol,2015,
Frijol,2016,
Frijol,2017,
Frijol,2018,
Frijol,2019,
Frijol,2020,
Garbanzo forrajero,2003,3214.56
Garbanzo forrajero,2004,1944
Garbanzo forrajero,2005,840
Garbanzo forrajero,2006,2240
Garbanzo forrajero,2007,975
Garbanzo forrajero,2008,299
Garbanzo forrajero,2009,402.5
Garbanzo forrajero,2010,333.42
Garbanzo forrajero,2011,259.74
Garbanzo forrajero,2012,426.6
Garbanzo forrajero,2013,181.19
Garbanzo forrajero,2014,507.25
Garbanzo forrajero,2015,454.02
Garbanzo forrajero,2016,
Garbanzo forrajero,2017,
Garbanzo forrajero,2018,
Garbanzo forrajero,2019,
Garbanzo forrajero,2020,
Haba grano,2003,91.38
Haba grano,2004,281.2
Haba grano,2005,300
Haba grano,2006,720
Haba grano,2007,342
Haba grano,2008,357
Haba grano,2009,88.2
Haba grano,2010,208.32
Haba grano,2011,300.8
Haba grano,2012,330.72
Haba grano,2013,366.44
Haba grano,2014,204
Haba grano,2015,235.2
Haba grano,2016,831.6
Haba grano,2017,846.72
Haba grano,2018,1199.73
Haba grano,2019,78.65
Haba grano,2020,
Lenteja,2003,196
Lenteja,2004,272.5
Lenteja,2005,40
Lenteja,2006,140
Lenteja,2007,45.5
Lenteja,2008,108.8
Lenteja,2009,166.6
Lenteja,2010,186.88
Lenteja,2011,113.75
Lenteja,2012,221.45
Lenteja,2013,52.09
Lenteja,2014,
Lenteja,2015,126
Lenteja,2016,1245
Lenteja,2017,
Lenteja,2018,
Lenteja,2019,
Lenteja,2020,
Maíz grano,2003,48394.65
Maíz grano,2004,55638
Maíz grano,2005,53200
Maíz grano,2006,107282.69
Maíz grano,2007,76717.96
Maíz grano,2008,108701.55
Maíz grano,2009,100588.58
Maíz grano,2010,110895.37
Maíz grano,2011,138806.4
Maíz grano,2012,202747.05
Maíz grano,2013,123221.74
Maíz grano,2014,89762.82
Maíz grano,2015,158937.05
Maíz grano,2016,118403.93
Maíz grano,2017,123216
Maíz grano,2018,110930.97
Maíz grano,2019,171484.83
Maíz grano,2020,176426.48
Nopalitos,2003,
Nopalitos,2004,
Nopalitos,2005,
Nopalitos,2006,
Nopalitos,2007,
Nopalitos,2008,
Nopalitos,2009,
Nopalitos,2010,
Nopalitos,2011,
Nopalitos,2012,
Nopalitos,2013,6600
Nopalitos,2014,10080
Nopalitos,2015,9000
Nopalitos,2016,13280.02
Nopalitos,2017,19687.51
Nopalitos,2018,23968.82
Nopalitos,2019,31182.98
Nopalitos,2020,19349.02
Pastos y praderas,2003,
Pastos y praderas,2004,
Pastos y praderas,2005,
Pastos y praderas,2006,
Pastos y praderas,2007,
Pastos y praderas,2008,
Pastos y praderas,2009,
Pastos y praderas,2010,
Pastos y praderas,2011,
Pastos y praderas,2012,
Pastos y praderas,2013,
Pastos y praderas,2014,
Pastos y praderas,2015,
Pastos y praderas,2016,
Pastos y praderas,2017,1667.82
Pastos y praderas,2018,2580.97
Pastos y praderas,2019,1020
Pastos y praderas,2020,
Sorgo grano,2003,735.31
Sorgo grano,2004,725.76
Sorgo grano,2005,810
Sorgo grano,2006,1332.14
Sorgo grano,2007,675.2
Sorgo grano,2008,684
Sorgo grano,2009,477.75
Sorgo grano,2010,740.26
Sorgo grano,2011,874
Sorgo grano,2012,1328.4
Sorgo grano,2013,2134.6
Sorgo grano,2014,453.6
Sorgo grano,2015,875.08
Sorgo grano,2016,
Sorgo grano,2017,82.5
Sorgo grano,2018,103.49
Sorgo grano,2019,311.66
Sorgo grano,2020,230.83
Tomate verde,2003,262.5
Tomate verde,2004,630
Tomate verde,2005,640
Tomate verde,2006,1530
Tomate verde,2007,960
Tomate verde,2008,528
Tomate verde,2009,924
Tomate verde,2010,812
Tomate verde,2011,404.25
Tomate verde,2012,561.6
Tomate verde,2013,607.2
Tomate verde,2014,
Tomate verde,2015,1015.63
Tomate verde,2016,695.8
Tomate verde,2017,1208.4
Tomate verde,2018,1960.05
Tomate verde,2019,982.95
Tomate verde,2020,2275.44
Trigo grano,2003,452.3
Trigo grano,2004,150
Trigo grano,2005,16
Trigo grano,2006,31.45
Trigo grano,2007,99
Trigo grano,2008,63
Trigo grano,2009,131.25
Trigo grano,2010,102.6
Trigo grano,2011,130.68
Trigo grano,2012,194.94
Trigo grano,2013,58.71
Trigo grano,2014,
Trigo grano,2015,252
Trigo grano,2016,348.84
Trigo grano,2017,950.4
Trigo grano,2018,354.24
Trigo grano,2019,
Trigo grano,2020,
