año,Agave,Aguacate,Avena forrajera en verde,Avena forrajera seca,Ebo (janamargo o veza),Frijol,Garbanzo forrajero,Haba grano,Lenteja,Maíz grano,Nopalitos,Pastos y praderas,Sorgo grano,Tomate verde,Trigo grano
2003,,,,10076.6,353.8,1483.84,3214.56,91.38,196,48394.65,,,735.31,262.5,452.3
2004,,,,2350,350,472.78,1944,281.2,272.5,55638,,,725.76,630,150
2005,,,1440,,432,360,840,300,40,53200,,,810,640,16
2006,,,1032.5,,1050,390,2240,720,140,107282.69,,,1332.14,1530,31.45
2007,,,2124,,950,,975,342,45.5,76717.96,,,675.2,960,99
2008,,,3581.5,,918.75,,299,357,108.8,108701.55,,,684,528,63
2009,,,3958.5,,875,,402.5,88.2,166.6,100588.58,,,477.75,924,131.25
2010,,,3570.4,,781.63,,333.42,208.32,186.88,110895.37,,,740.26,812,102.6
2011,16510,,2625.5,,483.36,,259.74,300.8,113.75,138806.4,,,874,404.25,130.68
2012,12355.47,,3564,,954.47,156.24,426.6,330.72,221.45,202747.05,,,1328.4,561.6,194.94
2013,9777.5,,2498.88,,545.66,,181.19,366.44,52.09,123221.74,6600,,2134.6,607.2,58.71
2014,12560.4,,2746.8,,787.55,,507.25,204,,89762.82,10080,,453.6,,
2015,9082,,3120,,662.4,,454.02,235.2,126,158937.05,9000,,875.08,1015.63,252
2016,18240,18352.15,3927,,427.5,,,831.6,1245,118403.93,13280.02,,,695.8,348.84
2017,0,49600,2323.2,,764,,,846.72,,123216,19687.51,1667.82,82.5,1208.4,950.4
2018,6436.88,62334.98,2702.7,,672.6,,,1199.73,,110930.97,23968.82,2580.97,103.49,1960.05,354.24
2019,4048.83,62509.46,,,,,,78.65,,171484.83,31182.98,1020,311.66,982.95,
2020,22638.24,70105.92,,,,,,,,176426.48,19349.02,,230.83,2275.44,
