ganado,año,cabezas
Bovino,2006,3517
Bovino,2007,3527
Bovino,2008,3517
Bovino,2009,3517
Bovino,2010,3518
Bovino,2011,3518
Bovino,2012,3508
Bovino,2013,3520
Bovino,2014,3144
Bovino,2015,3389
Bovino,2016,3392
Bovino,2017,3067
Bovino,2018,3157
Bovino,2019,3323
Bovino,2020,2107
Caprino,2006,1590
Caprino,2007,1757
Caprino,2008,1784
Caprino,2009,1733
Caprino,2010,1584
Caprino,2011,1584
Caprino,2012,1589
Caprino,2013,1584
Caprino,2014,1510
Caprino,2015,1541
Caprino,2016,1599
Caprino,2017,1567
Caprino,2018,1475
Caprino,2019,1776
Caprino,2020,1741
Ovino,2006,1171
Ovino,2007,1360
Ovino,2008,1307
Ovino,2009,1171
Ovino,2010,1172
Ovino,2011,1172
Ovino,2012,1176
Ovino,2013,1172
Ovino,2014,1097
Ovino,2015,1185
Ovino,2016,1138
Ovino,2017,1250
Ovino,2018,1221
Ovino,2019,1255
Ovino,2020,1446
Porcino,2006,5886
Porcino,2007,5601
Porcino,2008,5886
Porcino,2009,5887
Porcino,2010,5888
Porcino,2011,5888
Porcino,2012,6173
Porcino,2013,5886
Porcino,2014,5960
Porcino,2015,5864
Porcino,2016,5587
Porcino,2017,5917
Porcino,2018,5400
Porcino,2019,5712
Porcino,2020,5891
Aviar,2006,6586953
Aviar,2007,6665714
Aviar,2008,6642745
Aviar,2009,7061415
Aviar,2010,6692464
Aviar,2011,7063546
Aviar,2012,7069537
Aviar,2013,7064961
Aviar,2014,7065667
Aviar,2015,6943030
Aviar,2016,6926920
Aviar,2017,7082500
Aviar,2018,6968876
Aviar,2019,7820430
Aviar,2020,8279171
